,opinion_id,author,recommendation,score,purchased,published_at,purchased_at,thumbs_up,thumbs_down,content,pros,cons
22,16835718,Wiesław,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-12-05 23:27:31,2022-11-26 16:00:43,0,0,"Bardzo dobre urządzenie. Bałem się, że frytki będą niesmaczne, ale są przedobre. Inne potrawy również super. Polecam wszystkim niezdecydowanym jeszcze.","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'różnorodność potraw', 'szybkość nagrzewania']",[]
23,13771399,Andrzej,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-01-14 15:59:49,2020-12-13 20:39:32,2,0,"jakość z górnej półki ,dobry dla zdrowia ,mała ilość oleju a potrawy b.smaczne","['b.dobry desing', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
24,14053867,b...a,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-03-03 22:44:28,2021-02-21 16:19:09,2,0,"Bardzo estetyczny produkt, a najważniejsze, to umożliwia przygotowanie zdrowych, beztłuszczowych dań. Warto zainwestować.",[],[]
25,13969099,b...l,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-02-17 08:14:42,2021-02-07 18:56:55,0,1,"Rewelacja!!! 
Posiadam produkt od dwóch tygodni i jestem mega zadowolona🤩. Wszystko smaczne, zdrowe i chrupiące. Spełnił moje oczekiwania!","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
26,13282333,k...2,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2020-10-27 22:43:15,2020-10-18 17:35:25,3,0,"Bardzo wygodny, szybki. Dużym plusem jest aplikacja z przepisami. Objętość dobra dla dwóch osób.","['jakość wykonania', 'łatwość czyszczenia', 'szybkość nagrzewania']",['pojemność']
27,15467928,k...2,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-12-29 13:12:48,2021-12-28 14:01:57,0,0,"Produkt jak najbardziej OK, w pełni spełnił moje oczekiwania wykonanie na najwyższym poziomie wart swojej ceny polecam",[],[]
28,15620275,a...8,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-01-27 19:33:31,2021-12-28 16:30:47,0,0,"Moja druga zona hehe. Mega przydatny, działa swietnie a jedzonko petarda. Dajnie zjesc sobie grilla w srodku zimy","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'różnorodność potraw', 'szybkość nagrzewania']",[]
29,14080637,Sławomir,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-03-09 11:07:27,2021-03-07 12:35:14,0,0,"Bardzo ładnie się prezentuje, rewelacyjnie skraca czas pieczenia. Na razie się uczę jego obsługi.","['b.dobry desing', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
30,17069602,s...z,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-01-27 09:32:08,2023-01-19 20:11:03,0,0,"super produkt, bardzo fajnie wykonany, wszystko dobrze działa, przygotowanie posiłków superowe","['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
31,13894155,s...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-02-03 22:51:40,2021-01-24 15:23:49,0,0,Urządzenie świetne i polecam każdemu komu zależy na zdrowym przygotowywaniu swoich posiłków !,"['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
32,13641153,j...1,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2020-12-23 23:03:11,2020-12-13 21:43:39,2,0,"Fryteczki super, pałki z kurczaka również. Jestem zadowolona z zakupu","['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
33,12923241,s...r,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2020-08-08 08:39:02,2020-07-29 13:25:24,3,0,"Bardzo pomocne. Szybkość gotowania, pieczenia imponujące.","['efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
34,13531264,k...1,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2020-12-08 21:47:10,2020-11-28 23:28:04,1,0,"Świetny produkt dla zapracowanych, chcących zjeść szybko i zdrowo :) polecam","['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
35,13994349,RAFAŁ,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-02-21 08:17:09,2021-02-16 14:49:01,0,0,"Świetne urządzenie,jak na razie zrobione frytki,skrydełka,kanapki na ciepło,Rewelacja,","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
36,13958921,l...4,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-02-15 19:02:16,2021-01-16 09:39:18,0,0,Polecam wszystkim jakość wykonania na wysokim poziomie. Sprawuje się bardzo dobrze.,"['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
37,13314805,z...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2020-11-03 11:48:48,2020-10-22 12:43:50,3,0,Szczerze polecam. Przyjemnie się z niego korzysta.,"['efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
38,17373796,a...m,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-04-07 06:59:23,2023-03-22 15:30:39,0,0,Super urządzenie. Bardzo skraca czas pieczenia i do tego bez nadmiaru tluszcu .,"['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'różnorodność potraw', 'szybkość nagrzewania']","['cena', 'drogie akcesoria']"
39,13179197,a...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2020-10-08 20:52:15,2020-09-29 09:00:03,1,1,"Sprzęt rewelacyjny. Jedzenie przepyszne, szybko i bez zbędnych zapachów.",[],[]
40,16622518,a...3,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-10-12 11:50:18,2022-10-08 22:11:37,0,0,"Super produkt ,bardzo smaczne potrawy oraz różnorodne, szczerze polecam.","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'różnorodność potraw', 'szybkość nagrzewania']","['cena', 'drogie akcesoria']"
41,13687864,i...k,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2020-12-31 08:01:43,2020-12-11 08:39:55,0,0,"Bardzo dobre wykonanie , sprawiło radość  całej rodzinie .","['efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
42,13500304,j...8,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2020-12-03 21:36:43,2020-11-24 19:13:30,2,1,"Wszystko super, tylko pojemność trochę mała...","['efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'szybkość nagrzewania']",['pojemność']
43,13221807,e...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2020-10-15 21:08:59,2020-10-12 17:01:32,0,0,Potrawy chrupiące na zewnątrz i delikatne w środku.,"['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
